definition_id,criteria_name,value,unit,value_si
def_usa_unknown_16,min_canopy_cover,0.0,,0.0
def_unk_unknown_22,min_canopy_cover,40.0,,40.0
def_unk_unknown_22,min_height,5.0,m,5.0
def_unk_unknown_30,min_canopy_cover,10.0,,10.0
def_ger_1993_35,min_canopy_cover,20.0,,20.0
def_ger_1993_35,min_height,7.0,m,7.0
def_unk_2009_36,min_canopy_cover,40.0,,40.0
def_unk_2009_36,min_height,5.0,m,5.0
def_unk_1996_39,min_area,1.0,ha,1.0
def_unk_1996_39,min_canopy_cover,30.0,,30.0
def_unk_unknown_43,min_canopy_cover,10.0,,10.0
def_unk_unknown_44,min_canopy_cover,30.0,,30.0
def_unk_unknown_44,min_height,7.0,m,7.0
def_unk_unknown_49,min_height,120.0,feet,36.576
def_eur_2000_54,min_canopy_cover,20.0,,20.0
def_eur_2000_54,min_height,7.0,m,7.0
def_eur_2010_55,min_canopy_cover,30.0,,30.0
def_eur_2010_56,min_canopy_cover,30.0,,30.0
def_eur_2010_56,min_height,5.0,metre,5.0
def_eur_unknown_57,min_area,1.0,hectare,1.0
def_eur_unknown_57,min_canopy_cover,10.0,,10.0
def_eur_unknown_57,min_height,5.0,meter,5.0
def_eur_1993_58,min_area,0.5,hectare,0.5
def_eur_unknown_62,min_area,1.0,ha,1.0
def_eur_unknown_62,min_height,5.0,m,5.0
def_uk_unknown_63,min_area,0.5,ha,0.5
def_uk_unknown_63,min_canopy_cover,10.0,,10.0
def_uk_unknown_63,min_height,5.0,metre,5.0
def_unk_2000_64,min_area,0.5,ha,0.5
def_unk_2000_64,min_canopy_cover,10.0,,10.0
def_unk_2000_64,min_height,5.0,m,5.0
def_unk_1973_66,min_canopy_cover,25.0,,25.0
def_unk_1993_69,min_area,100.0,ha,100.0
def_unk_1993_69,min_canopy_cover,10.0,,10.0
def_unk_1993_69,min_height,5.0,meter,5.0
def_unk_1995_71,min_canopy_cover,20.0,,20.0
def_unk_1995_71,min_height,7.0,m,7.0
def_uk_1997_72,min_canopy_cover,10.0,,10.0
def_unk_2000_73,min_canopy_cover,40.0,,40.0
def_unk_2003_74,min_area,0.5,ha,0.5
def_unk_2010_75,min_area,0.5,hectare,0.5
def_unk_2010_75,min_canopy_cover,10.0,,10.0
def_unk_2010_75,min_height,5.0,metre,5.0
def_uk_unknown_77,min_canopy_cover,30.0,,30.0
def_unk_2005_78,min_area,0.5,hectare,0.5
def_unk_2005_78,min_canopy_cover,10.0,,10.0
def_unk_2005_78,min_height,5.0,meter,5.0
def_unk_unknown_79,min_area,1.0,hectare,1.0
def_unk_unknown_79,min_canopy_cover,10.0,,10.0
def_unk_unknown_79,min_height,2.0,meter,2.0
def_unk_unknown_80,min_area,0.5,hectare,0.5
def_unk_unknown_80,min_canopy_cover,10.0,,10.0
def_unk_unknown_80,min_height,5.0,meter,5.0
def_unk_unknown_81,min_area,1.0,hectare,1.0
def_unk_unknown_81,min_height,5.0,metre,5.0
def_eur_2009_83,min_area,0.5,ha,0.5
def_eur_2009_83,min_height,20.0,m,20.0
def_eur_unknown_84,min_area,0.5,ha,0.5
def_eur_unknown_84,min_canopy_cover,10.0,,10.0
def_eur_unknown_84,min_height,5.0,m,5.0
def_eur_unknown_84,min_width,20.0,m,20.0
def_unk_2010_85,min_area,0.5,ha,0.5
def_unk_2010_85,min_canopy_cover,10.0,,10.0
def_unk_2010_85,min_height,5.0,m,5.0
def_unk_unknown_87,min_canopy_cover,30.0,,30.0
def_unk_unknown_87,min_height,7.0,m,7.0
def_unk_2003_91,min_area,0.5,hectare,0.5
def_unk_2003_91,min_canopy_cover,10.0,,10.0
def_unk_2003_91,min_height,5.0,meter,5.0
def_unk_2003_91,min_width,20.0,meter,20.0
def_unk_unknown_94,min_canopy_cover,40.0,,40.0
def_unk_unknown_94,min_height,5.0,meter,5.0
def_unk_2009_97,min_area,0.5,ha,0.5
def_unk_2009_97,min_canopy_cover,10.0,,10.0
def_unk_2009_97,min_height,5.0,m,5.0
def_unk_1895_101,min_height,20.0,m,20.0
def_cze_unknown_102,min_area,0.01,ha,0.01
def_den_unknown_103,min_area,0.5,ha,0.5
def_geo_1999_107,min_area,0.1,ha,0.1
def_ind_1879_108,min_height,20.0,m,20.0
def_slo_unknown_143,min_area,0.01,ha,0.01
def_slo_1993_144,min_area,0.05,ha,0.05
def_alb_2004_155,min_canopy_cover,30.0,,30.0
def_alb_2008_156,min_canopy_cover,30.0,,30.0
def_alb_2011_157,min_area,0.5,ha,0.5
def_alb_2011_157,min_canopy_cover,10.0,,10.0
def_alb_2011_157,min_height,20.0,m,20.0
def_alb_2011_157,min_width,20.0,m,20.0
def_alb_unknown_158,min_area,2.0,ha,2.0
def_alb_unknown_158,min_height,1000.0,m,1000.0
def_alb_unknown_159,min_height,5.0,m,5.0
def_aus_1992_161,min_canopy_cover,20.0,,20.0
def_aus_1992_161,min_height,2.0,metre,2.0
def_aus_1996_162,min_height,5.0,metre,5.0
def_aus_1998_163,min_canopy_cover,20.0,,20.0
def_aus_1998_163,min_height,2.0,metre,2.0
def_aus_2005_164,min_canopy_cover,20.0,,20.0
def_aus_2005_164,min_height,2.0,m,2.0
def_aus_2009_165,min_canopy_cover,20.0,,20.0
def_aus_unknown_166,min_area,2.0,ha,2.0
def_aus_unknown_166,min_canopy_cover,20.0,,20.0
def_aus_unknown_166,min_height,2.0,metre,2.0
def_aus_unknown_167,min_height,5.0,metre,5.0
def_aus_1996_169,min_canopy_cover,30.0,,30.0
def_aus_1996_169,min_height,1000.0,m,1000.0
def_bos_unknown_171,min_height,500.0,m,500.0
def_bos_unknown_171,min_width,10.0,meter,10.0
def_bra_2009_172,min_area,1.0,hectare,1.0
def_bra_2009_172,min_canopy_cover,30.0,,30.0
def_bra_2009_172,min_height,5.0,metre,5.0
def_bul_2007_174,min_area,0.1,ha,0.1
def_can_unknown_176,min_area,1.0,ha,1.0
def_can_unknown_176,min_canopy_cover,25.0,,25.0
def_can_unknown_176,min_height,5.0,m,5.0
def_unk_2009_177,min_canopy_cover,60.0,,60.0
def_unk_2009_177,min_height,16.0,m,16.0
def_chi_unknown_178,min_area,0.5,hectare,0.5
def_chi_unknown_178,min_canopy_cover,25.0,,25.0
def_chi_unknown_178,min_height,5.0,meter,5.0
def_chi_2006_180,min_canopy_cover,30.0,,30.0
def_chi_2006_180,min_height,400.0,m,400.0
def_cos_unknown_181,min_canopy_cover,70.0,,70.0
def_cos_2014_182,min_area,1.0,ha,1.0
def_cos_2014_182,min_canopy_cover,30.0,,30.0
def_cos_2014_182,min_height,5.0,meter,5.0
def_cro_unknown_185,min_area,0.1,hectare,0.1
def_cro_unknown_185,min_canopy_cover,20.0,,20.0
def_cro_unknown_185,min_height,2.0,meter,2.0
def_cro_unknown_186,min_area,0.1,ha,0.1
def_cro_unknown_186,min_canopy_cover,20.0,,20.0
def_cro_unknown_186,min_height,1.0,m,1.0
def_unk_2002_187,min_area,1.0,ha,1.0
def_unk_2002_187,min_canopy_cover,10.0,,10.0
def_unk_2006_188,min_area,1.0,ha,1.0
def_unk_2006_188,min_canopy_cover,10.0,,10.0
def_unk_2006_188,min_height,5.0,m,5.0
def_cze_2004_189,min_area,0.01,ha,0.01
def_cze_2004_189,min_height,4.0,m,4.0
def_cze_2004_189,min_width,4.0,m,4.0
def_cze_unknown_190,min_canopy_cover,20.0,,20.0
def_den_unknown_191,min_area,3.0,ha,3.0
def_den_unknown_191,min_height,6.0,m,6.0
def_ecu_2013_192,min_area,1.0,hectare,1.0
